Archivo;ID Empresa;Interno;Fecha Inicio primer turno;Hora Inicio primer turno;Minutos Inicio primer turno;Fecha cierre ultimo turno;Hora cierre ultimo turno;Minutos cierre ultimo turno;Duración;Distancia;Velocidad promedio;Cant. Trx.;Recaudacion;Reinicios;Inicio del primer turno;Cierre del último turno
TLL_0265_482_01084_0000003547_02391_20230102_045649_04.19.bin;265;1084;2/1/2023 00:00:00;4;56;2/1/2023 00:00:00;4;56;0:00:11;0;0,00;0;0;0;2/1/2023 04:56:04;2/1/2023 04:56:15
TLL_0265_482_01084_0000003547_02392_20230102_075218_04.19.bin;265;1084;2/1/2023 00:00:00;5;40;2/1/2023 00:00:00;7;41;2:01:13;32,786;16,23;13;80;0;2/1/2023 05:40:27;2/1/2023 07:41:40
TLL_0265_482_01084_0000003547_02393_20230102_233330_04.19.bin;265;1084;2/1/2023 00:00:00;9;16;2/1/2023 00:00:00;11;2;1:46:32;32,483;18,29;56;198;0;2/1/2023 09:16:14;2/1/2023 11:02:46
TLL_0265_482_01084_0000003547_02394_20230102_233403_04.19.bin;265;1084;2/1/2023 00:00:00;11;4;2/1/2023 00:00:00;11;5;0:01:01;0,208;12,28;1;0;0;2/1/2023 11:04:47;2/1/2023 11:05:48
TLL_0265_482_01084_0000003547_02395_20230103_002811_04.19.bin;265;1084;2/1/2023 00:00:00;11;6;2/1/2023 00:00:00;16;50;5:44:22;102,759;17,90;50;274,5;0;2/1/2023 11:06:09;2/1/2023 16:50:31
TLL_0265_482_01084_0000003547_02396_20230102_233505_04.19.bin;265;1084;2/1/2023 00:00:00;16;57;2/1/2023 00:00:00;17;20;0:22:58;8,357;21,83;12;88;0;2/1/2023 16:57:12;2/1/2023 17:20:10
TLL_0265_482_01084_0000003547_02397_20230102_233506_04.19.bin;265;1084;2/1/2023 00:00:00;17;22;2/1/2023 00:00:00;23;33;6:10:52;113,235;18,32;49;379;0;2/1/2023 17:22:21;2/1/2023 23:33:13
TLL_0265_482_01084_0000003547_02398_20230103_050239_04.19.bin;265;1084;3/1/2023 00:00:00;5;2;3/1/2023 00:00:00;5;2;0:00:08;0;0,00;0;0;0;3/1/2023 05:02:16;3/1/2023 05:02:24
TLL_0265_482_01084_0000003547_02399_20230104_045523_04.19.bin;265;1084;4/1/2023 00:00:00;4;54;4/1/2023 00:00:00;4;55;0:00:09;0;0,00;0;0;0;4/1/2023 04:54:58;4/1/2023 04:55:07
TLL_0265_482_01084_0000003547_02400_20230104_234729_04.19.bin;265;1084;4/1/2023 00:00:00;5;40;4/1/2023 00:00:00;11;30;5:49:56;103,229;17,70;104;497,5;0;4/1/2023 05:40:58;4/1/2023 11:30:54
TLL_0265_482_01084_0000003547_02401_20230104_234916_04.19.bin;265;1084;4/1/2023 00:00:00;11;32;4/1/2023 00:00:00;17;19;5:47:14;103,306;17,85;63;443,5;0;4/1/2023 11:32:44;4/1/2023 17:19:58
TLL_0265_482_01084_0000003547_02402_20230104_235019_04.19.bin;265;1084;4/1/2023 00:00:00;17;23;4/1/2023 00:00:00;22;54;5:30:44;101,708;18,45;44;278;0;4/1/2023 17:23:54;4/1/2023 22:54:38
TLL_0265_482_01084_0000003547_02403_20230106_225630_04.19.bin;265;1084;6/1/2023 00:00:00;4;54;6/1/2023 00:00:00;11;33;6:39:34;103,833;15,59;109;599,5;0;6/1/2023 04:54:13;6/1/2023 11:33:47
